統計名：,時系列データ 人口の労働力状態，就業者の産業・職業,,,,,,,,
表番号：,009-1990,,,,,,,,
表題：,職業（小分類），従業上の地位（７区分），男女別15歳以上就業者数－全国（平成2年）,,,,,,,,
実施年月：,2005年,-,,,,,,,
334,就業者数【人】,1990000000,1990年,3200,245その他の印刷・製本作業者,,69038,37004,32034
334,就業者数【人】,1990000000,1990年,3210,(53)ゴム・プラスチック製品製造作業者,,472592,290349,182243
334,就業者数【人】,1990000000,1990年,3220,246ゴム工,,7157,6432,725
334,就業者数【人】,1990000000,1990年,3230,247ゴム製品成形工,,81648,62760,18888
334,就業者数【人】,1990000000,1990年,3240,248プラスチック製品成形工・加工工・仕上工,,271145,174797,96348
334,就業者数【人】,1990000000,1990年,3250,249その他のゴム・プラスチック製品製造作業者,,112642,46360,66282
334,就業者数【人】,1990000000,1990年,3260,(54)革・革製品製造作業者,,85389,42963,42426
334,就業者数【人】,1990000000,1990年,3270,250製革工,,8786,6096,2690
334,就業者数【人】,1990000000,1990年,3280,251靴製造工・修理工,,57479,28461,29018
334,就業者数【人】,1990000000,1990年,3290,252その他の革・革製品製造作業者,,19124,8406,10718
334,就業者数【人】,1990000000,1990年,3300,(55)その他の技能工・生産工程作業者,,1631641,905095,726546
334,就業者数【人】,1990000000,1990年,3310,253かばん・袋物製造工,,44984,17221,27763
334,就業者数【人】,1990000000,1990年,3320,254がん具製造工,,23304,7659,15645
334,就業者数【人】,1990000000,1990年,3330,255和傘・ちょうちん・うちわ製造工,,2467,1025,1442
334,就業者数【人】,1990000000,1990年,3340,256洋傘組立工,,2779,1148,1631
334,就業者数【人】,1990000000,1990年,3350,257漆塗師，まき絵師,,18358,10887,7471
334,就業者数【人】,1990000000,1990年,3360,258貴金属・宝石・甲・角等細工工,,35859,22741,13118
334,就業者数【人】,1990000000,1990年,3370,259印判師,,10716,8301,2415
334,就業者数【人】,1990000000,1990年,3380,260内張工,,17417,12418,4999
334,就業者数【人】,1990000000,1990年,3390,261表具師,,74803,64717,10086
334,就業者数【人】,1990000000,1990年,3400,262塗装工，画工，看板工,,364911,321637,43274
334,就業者数【人】,1990000000,1990年,3410,263写真現像・焼付・引伸し工,,27524,17533,9991
334,就業者数【人】,1990000000,1990年,3420,264製図工，写図工,,334235,243340,90895
334,就業者数【人】,1990000000,1990年,3430,265現図工,,3776,3585,191
334,就業者数【人】,1990000000,1990年,3440,266包装工,,416486,48199,368287
334,就業者数【人】,1990000000,1990年,3450,267他に分類されない技能工・生産工程作業者,,254022,124684,129338
334,就業者数【人】,1990000000,1990年,3460,Ｉ－５定置機関運転・建設機械運転・電気作業者,,966574,957923,8651
334,就業者数【人】,1990000000,1990年,3470,(56)定置機関・機械及び建設機械運転作業者,,359290,357633,1657
334,就業者数【人】,1990000000,1990年,3480,268機関士,,43263,43222,41
334,就業者数【人】,1990000000,1990年,3490,269起重機・巻上機運転工,,77934,77656,278
334,就業者数【人】,1990000000,1990年,3500,270建設機械運転工,,146639,146087,552
334,就業者数【人】,1990000000,1990年,3510,271その他の定置機関・機械及び建設機械運転作業者,,91454,90668,786
334,就業者数【人】,1990000000,1990年,3520,(57)電気作業者,,607284,600290,6994
334,就業者数【人】,1990000000,1990年,3530,272発電員，変電員,,48355,48355,-
334,就業者数【人】,1990000000,1990年,3540,273電線架線工,,67583,67583,-
334,就業者数【人】,1990000000,1990年,3550,274電信電話機器据付工・保守工,,104879,103849,1030
334,就業者数【人】,1990000000,1990年,3560,275電気工事人,,371654,366466,5188
334,就業者数【人】,1990000000,1990年,3570,276その他の電気作業者,,14813,14037,776
334,就業者数【人】,1990000000,1990年,3580,Ｉ－６建設作業者,,2855056,2727125,127931
334,就業者数【人】,1990000000,1990年,3590,(58)建設作業者,,2855056,2727125,127931
334,就業者数【人】,1990000000,1990年,3600,277大工,,734087,727387,6700
334,就業者数【人】,1990000000,1990年,3610,278とび工,,91186,90620,566
334,就業者数【人】,1990000000,1990年,3620,279れんが積工，タイル張工,,72144,68815,3329
334,就業者数【人】,1990000000,1990年,3630,280屋根ふき工,,35451,33216,2235
334,就業者数【人】,1990000000,1990年,3640,281左官,,200452,191998,8454
334,就業者数【人】,1990000000,1990年,3650,282配管工，鉛工,,305777,300371,5406
334,就業者数【人】,1990000000,1990年,3660,283畳工,,34785,29559,5226
334,就業者数【人】,1990000000,1990年,3670,284土木工，舗装工,,825018,756378,68640
334,就業者数【人】,1990000000,1990年,3680,285鉄道線路工事作業者,,30410,30410,-
334,就業者数【人】,1990000000,1990年,3690,286その他の建設作業者,,525746,498371,27375
334,就業者数【人】,1990000000,1990年,3700,Ｉ－７労務作業者,,2857781,1689801,1167980
334,就業者数【人】,1990000000,1990年,3710,(59)運搬労務作業者,,1391335,1045306,346029
334,就業者数【人】,1990000000,1990年,3720,287船内・沿岸荷役作業者,,22201,21447,754
334,就業者数【人】,1990000000,1990年,3730,288陸上荷役・運搬作業者,,149909,135209,14700
334,就業者数【人】,1990000000,1990年,3740,289倉庫作業員,,249763,210566,39197
334,就業者数【人】,1990000000,1990年,3750,290配達員,,737761,549663,188098
334,就業者数【人】,1990000000,1990年,3760,291荷造工,,231701,128421,103280
334,就業者数【人】,1990000000,1990年,3770,(60)その他の労務作業者,,1466446,644495,821951
334,就業者数【人】,1990000000,1990年,3780,292清掃員,,580362,238656,341706
334,就業者数【人】,1990000000,1990年,3790,293他に分類されない労務作業者,,886084,405839,480245
334,就業者数【人】,1990000000,1990年,3800,Ｊ分類不能の職業,,323722,181493,142229
334,就業者数【人】,1990000000,1990年,3810,(61)分類不能の職業,,323722,181493,142229
334,就業者数【人】,1990000000,1990年,3820,294分類不能の職業,,323722,181493,142229
